season,fullName,Current_Team,Team_in_2023,position,Starting_11,Batting_FP,Bowling_FP,Fielding_FP,Total_FP,AverageFantasyPointsin2021,AverageFantasyPointsin2022,AverageFantasyPointsin2023,Average_Fantasy_Points_2024,Consistency_Rating,ceiling_average,Tot_60_plus_scores,Upside_Score,Risk.Rating
2024,Devdutt Padikkal,Lucknow Super Giants,Rajasthan Royals,Batsman,112,288,0,0,288.0,,,,10.29,65,111.33,10,20.41 %,Medium
2023,Devon Conway,Chennai Super Kings,Chennai Super Kings,Wicketkeeper,120,1758,0,96,1974.0,,,65.8,,74,126.0,12,54.55 %,Low
2022,Devon Conway,Chennai Super Kings,Chennai Super Kings,Wicketkeeper,56,668,0,44,768.0,,54.86,,,74,126.0,12,54.55 %,Low
2022,Dewald Brevis,Mumbai Indians,,Batsman,56,450,66,48,620.0,,44.29,,,57,65.33,2,20 %,High
2024,Dewald Brevis,Mumbai Indians,,Batsman,24,214,0,0,214.0,,,,35.67,57,65.33,2,20 %,High
2023,Dhruv Jurel,Rajasthan Royals,Rajasthan Royals,Wicketkeeper,88,430,0,16,534.0,,,24.27,,60,70.33,2,9.09 %,High
2024,Dhruv Jurel,Rajasthan Royals,Rajasthan Royals,Wicketkeeper,88,606,0,0,606.0,,,,27.55,60,70.33,2,9.09 %,High
2023,Dinesh Karthik,Royal Challengers Bengaluru,Royal Challengers Bangalore,Wicketkeeper,208,684,0,400,1292.0,,,24.85,,67,107.67,7,11.86 %,Medium
2021,Dinesh Karthik,Royal Challengers Bengaluru,Royal Challengers Bangalore,Wicketkeeper,272,1100,0,376,1748.0,25.71,,,,67,107.67,7,11.86 %,Medium
2022,Dinesh Karthik,Royal Challengers Bengaluru,Royal Challengers Bangalore,Wicketkeeper,256,1836,0,464,2556.0,,39.94,,,67,107.67,7,11.86 %,Medium
2024,Dinesh Karthik,Royal Challengers Bengaluru,Royal Challengers Bangalore,Wicketkeeper,208,2080,0,0,2080.0,,,,40.0,67,107.67,7,11.86 %,Medium
2024,Faf du Plessis,Royal Challengers Bengaluru,Royal Challengers Bangalore,Batsman,240,2704,0,0,2704.0,,,,45.07,80,127.33,27,44.26 %,Low
2023,Faf du Plessis,Royal Challengers Bengaluru,Royal Challengers Bangalore,Batsman,224,3904,0,96,4224.0,,,75.43,,80,127.33,27,44.26 %,Low
2021,Faf du Plessis,Royal Challengers Bengaluru,Royal Challengers Bangalore,Batsman,256,3316,0,384,3956.0,61.81,,,,80,127.33,27,44.26 %,Low
2022,Faf du Plessis,Royal Challengers Bengaluru,Royal Challengers Bangalore,Batsman,256,2340,0,176,2772.0,,43.31,,,80,127.33,27,44.26 %,Low
2024,Glenn Maxwell,Royal Challengers Bengaluru,Royal Challengers Bangalore,Allrounder,144,432,696,0,1128.0,,,,28.2,73,136.0,19,36.54 %,Low
2022,Glenn Maxwell,Royal Challengers Bengaluru,Royal Challengers Bangalore,Allrounder,208,1696,848,232,2984.0,,57.38,,,73,136.0,19,36.54 %,Low
2023,Glenn Maxwell,Royal Challengers Bengaluru,Royal Challengers Bangalore,Allrounder,224,2244,268,128,2864.0,,,51.14,,73,136.0,19,36.54 %,Low
2021,Glenn Maxwell,Royal Challengers Bengaluru,Royal Challengers Bangalore,Allrounder,240,2740,332,160,3472.0,57.87,,,,73,136.0,19,36.54 %,Low
2022,Hardik Pandya,Mumbai Indians,Gujarat Titans,Allrounder,240,2504,976,160,3880.0,,64.67,,,73,134.0,18,32.14 %,Low
2024,Hardik Pandya,Mumbai Indians,Gujarat Titans,Allrounder,208,1384,1356,0,2740.0,,,,48.93,73,134.0,18,32.14 %,Low
2021,Hardik Pandya,Mumbai Indians,Gujarat Titans,Allrounder,192,608,0,256,1056.0,22.0,,,,73,134.0,18,32.14 %,Low
2023,Hardik Pandya,Mumbai Indians,Gujarat Titans,Allrounder,240,1792,300,224,2556.0,,,42.6,,73,134.0,18,32.14 %,Low
2022,Harpreet Brar,Punjab Kings,Punjab Kings,Bowler,80,108,392,96,676.0,,33.8,,,61,129.33,6,16.22 %,High
2021,Harpreet Brar,Punjab Kings,Punjab Kings,Bowler,112,292,740,64,1208.0,43.14,,,,61,129.33,6,16.22 %,High
2024,Harpreet Brar,Punjab Kings,Punjab Kings,Bowler,112,508,1036,0,1544.0,,,,29.69,61,129.33,6,16.22 %,High
2023,Harpreet Brar,Punjab Kings,Punjab Kings,Bowler,192,244,1020,64,1520.0,,,31.67,,61,129.33,6,16.22 %,High
2023,Harpreet Singh,Punjab Kings,,Batsman,48,384,0,32,464.0,,,38.67,,56,51.67,0,0 %,High
2024,Harpreet Singh,Punjab Kings,,Batsman,32,156,0,0,156.0,,,,19.5,56,51.67,0,0 %,High
2023,Harry Brook,Sunrisers Hyderabad,Sunrisers Hyderabad,Batsman,44,235,0,24,303.0,,,27.55,,61,69.33,1,9.09 %,High
2024,Harshal Patel,Punjab Kings,Royal Challengers Bangalore,Bowler,64,140,2816,0,2956.0,,,,52.79,76,152.0,19,33.33 %,Low
2022,Harshal Patel,Punjab Kings,Royal Challengers Bangalore,Bowler,240,204,2132,64,2640.0,,44.0,,,76,152.0,19,33.33 %,Low
2021,Harshal Patel,Punjab Kings,Royal Challengers Bangalore,Bowler,240,316,3648,144,4348.0,72.47,,,,76,152.0,19,33.33 %,Low
2023,Harshal Patel,Punjab Kings,Royal Challengers Bangalore,Bowler,208,24,1432,88,1752.0,,,33.69,,76,152.0,19,33.33 %,Low
2023,Harshit Rana,Kolkata Knight Riders,Kolkata Knight Riders,Bowler,72,0,399,48,519.0,,,28.83,,59,76.0,4,21.05 %,High
2024,Harshit Rana,Kolkata Knight Riders,Kolkata Knight Riders,Bowler,0,0,1629,0,1629.0,,,,49.36,59,76.0,4,21.05 %,High
2022,Harshit Rana,Kolkata Knight Riders,Kolkata Knight Riders,Bowler,24,6,57,0,87.0,,14.5,,,59,76.0,4,21.05 %,High
2024,Heinrich Klaasen,Sunrisers Hyderabad,Sunrisers Hyderabad,Wicketkeeper,120,1458,0,0,1458.0,,,,48.6,76,124.33,12,46.15 %,Low
2023,Heinrich Klaasen,Sunrisers Hyderabad,Sunrisers Hyderabad,Wicketkeeper,88,1240,0,144,1472.0,,,66.91,,76,124.33,12,46.15 %,Low
2022,Hrithik Shokeen,Mumbai Indians,Mumbai Indians,Bowler,40,96,108,32,276.0,,27.6,,,55,48.67,1,7.69 %,High
2023,Hrithik Shokeen,Mumbai Indians,Mumbai Indians,Bowler,64,58,150,60,332.0,,,20.75,,55,48.67,1,7.69 %,High
2023,Ishan Kishan,Mumbai Indians,Mumbai Indians,Wicketkeeper,256,2464,0,536,3256.0,,,50.88,,72,123.0,15,27.78 %,Low
2024,Ishan Kishan,Mumbai Indians,Mumbai Indians,Wicketkeeper,224,2040,0,0,2040.0,,,,36.43,72,123.0,15,27.78 %,Low
2022,Ishan Kishan,Mumbai Indians,Mumbai Indians,Wicketkeeper,224,2092,0,592,2908.0,,51.93,,,72,123.0,15,27.78 %,Low
2021,Ishan Kishan,Mumbai Indians,Mumbai Indians,Wicketkeeper,160,1208,0,136,1504.0,37.6,,,,72,123.0,15,27.78 %,Low
2023,Ishant Sharma,Delhi Capitals,Delhi Capitals,Bowler,96,3,780,0,879.0,,,36.62,,58,72.0,4,20 %,High
2024,Ishant Sharma,Delhi Capitals,Delhi Capitals,Bowler,24,27,930,0,957.0,,,,35.44,58,72.0,4,20 %,High
2021,Ishant Sharma,Delhi Capitals,Delhi Capitals,Bowler,36,0,177,0,213.0,23.67,,,,58,72.0,4,20 %,High
2023,Jason Behrendorff,Mumbai Indians,Mumbai Indians,Bowler,48,6,362,16,432.0,,,36.0,,65,76.0,2,16.67 %,Medium
2021,Jason Holder,Rajasthan Royals,Rajasthan Royals,Bowling Allrounder,96,321,1302,48,1767.0,73.62,,,,65,123.0,9,32.14 %,Medium
2022,Jason Holder,Rajasthan Royals,Rajasthan Royals,Bowling Allrounder,144,204,1068,150,1566.0,,43.5,,,65,123.0,9,32.14 %,Medium
2023,Jason Holder,Rajasthan Royals,Rajasthan Royals,Bowling Allrounder,96,42,258,72,468.0,,,19.5,,65,123.0,9,32.14 %,Medium
2023,Jason Roy,Kolkata Knight Riders,Kolkata Knight Riders,Batsman,64,786,0,0,850.0,,,53.12,,62,91.33,5,38.46 %,High
2021,Jason Roy,Kolkata Knight Riders,Kolkata Knight Riders,Batsman,40,390,0,48,478.0,47.8,,,,62,91.33,5,38.46 %,High
2024,Jasprit Bumrah,Mumbai Indians,,Bowler,48,90,1848,0,1938.0,,,,49.69,73,139.0,15,36.59 %,Low
2022,Jasprit Bumrah,Mumbai Indians,,Bowler,168,0,1461,24,1653.0,,39.36,,,73,139.0,15,36.59 %,Low
2021,Jasprit Bumrah,Mumbai Indians,,Bowler,168,54,1821,84,2127.0,50.64,,,,73,139.0,15,36.59 %,Low
2022,Jaydev Unadkat,Sunrisers Hyderabad,,Bowler,80,276,640,32,1028.0,,51.4,,,57,97.0,4,16 %,High
2021,Jaydev Unadkat,Sunrisers Hyderabad,,Bowler,96,200,464,0,760.0,31.67,,,,57,97.0,4,16 %,High
2024,Jaydev Unadkat,Sunrisers Hyderabad,,Bowler,80,208,976,0,1184.0,,,,26.91,57,97.0,4,16 %,High
2023,Jaydev Unadkat,Sunrisers Hyderabad,,Bowler,48,40,-48,24,64.0,,,5.33,,57,97.0,4,16 %,High
2024,Jhye Richardson,Delhi Capitals,,Bowler,8,12,8,0,20.0,,,,10.0,52,39.33,1,25 %,High
2021,Jhye Richardson,Delhi Capitals,,Bowler,24,26,170,16,236.0,39.33,,,,52,39.33,1,25 %,High
2023,Jitesh Sharma,Punjab Kings,Punjab Kings,Wicketkeeper,168,1257,0,162,1587.0,,,37.79,,66,70.67,7,18.92 %,Medium
2022,Jitesh Sharma,Punjab Kings,Punjab Kings,Wicketkeeper,132,960,0,342,1434.0,,43.45,,,66,70.67,7,18.92 %,Medium
2024,Jitesh Sharma,Punjab Kings,Punjab Kings,Wicketkeeper,144,903,0,0,903.0,,,,25.08,66,70.67,7,18.92 %,Medium
2021,Jonny Bairstow,Punjab Kings,,Wicketkeeper,84,1026,0,102,1212.0,57.71,,,,65,125.33,9,31.03 %,Medium
2024,Jonny Bairstow,Punjab Kings,,Wicketkeeper,132,1392,0,0,1392.0,,,,42.18,65,125.33,9,31.03 %,Medium
2022,Jonny Bairstow,Punjab Kings,,Wicketkeeper,132,1029,0,120,1281.0,,38.82,,,65,125.33,9,31.03 %,Medium
2024,Jos Buttler,Rajasthan Royals,Rajasthan Royals,Wicketkeeper,176,2092,0,0,2092.0,,,,47.55,76,169.33,19,38.78 %,Low
